電池編號,V:測試電壓值 ,I:漏電流值,OM:絕緣電阻值,PF:結果判定
Q123T2E1-001,248.943,0,1489600000,128
Q123T2E1-002,249.35,0,389639000,128
Q123T2E1-003,248.943,0,1607190000,128
Q123T2E1-004,248.535,0,213868000,66
Q123T2E1-004,249.758,0,414008000,128
Q123T2E1-005,249.35,0,1492030000,128
Q123T2E1-006,246.091,0,1472530000,128
Q123T2E1-007,248.943,0,1526840000,128
Q123T2E1-008,248.943,0,243320000,128
Q123T2E1-009,248.943,0,316442000,66
Q123T2E1-009,247.313,0,562484000,66
Q123T2E1-009,248.943,0,1489600000,128
Q123T2E1-010,249.35,0,296958000,128
Q123T2E1-011,249.35,0,82680800,66
Q123T2E1-011,248.943,0,282747000,128
Q123T2E1-012,245.683,0,1470090000,128
Q123T2E1-013,248.943,0,264387000,128
Q123T2E1-014,249.35,0,1492030000,128
Q123T2E1-015,248.943,0,1489600000,128
Q123T2E1-016,244.868,0,1465220000,128
Q123T2E1-017,246.091,0,56782200,66
Q123T2E1-017,249.35,0,1529330000,128
Q123T2E1-018,248.535,0,326061000,128
Q123T2E1-019,249.35,0,275555000,128
Q123T2E1-020,247.721,0,302356000,128
Q123T2E1-021,248.943,0,2261980000,128
Q123T2E1-022,247.721,0,28828600,66
Q123T2E1-022,249.35,0,248672000,128
Q123T2E1-023,248.535,0,1524340000,128
Q123T2E1-024,249.35,0,136685000,66
Q123T2E1-024,249.35,0,29672500,66
Q123T2E1-024,249.35,0,1492030000,128
Q123T2E1-025,249.35,0,1492030000,128
Q123T2E1-026,246.498,0,1474970000,128
Q123T2E1-027,248.943,0,376996000,66
Q123T2E1-027,249.35,0,271881000,128
Q123T2E1-028,249.35,0,1492030000,128
Q123T2E1-029,248.943,0,1526840000,128
Q123T2E1-030,248.943,0,396580000,128
Q123T2E1-031,248.943,0,1650630000,128
Q123T2E1-032,249.35,0,373008000,128
Q123T2E1-033,247.721,0,1482280000,128
Q123T2E1-034,248.943,0,284062000,128
Q123T2E1-035,248.943,0,1607190000,128
Q123T2E1-036,249.35,0,1492030000,128
Q123T2E1-037,249.35,0,1568550000,128
Q123T2E1-038,249.35,0,172319000,128
Q123T2E1-039,248.535,0,1487160000,128
Q123T2E1-040,248.943,0,300854000,128
Q123T2E1-041,248.943,0,1607190000,128
Q123T2E1-042,248.943,0,1489600000,128
Q123T2E1-043,249.35,0,1492030000,128
Q123T2E1-043,247.313,0,523048000,128
Q123T2E1-044,249.35,0,1568550000,128
Q123T2E1-045,247.313,0,1479840000,128
Q123T2E1-046,249.35,0,1529330000,128
Q123T2E1-047,248.943,0,1526840000,128
Q123T2E1-049,249.35,0,179394000,128
Q123T2E1-050,248.943,0,412658000,128
Q123T2E1-051,248.943,0,1489600000,128
Q123T2E1-052,248.535,0,1524340000,128
Q123T2E1-053,249.35,0,296958000,128
Q123T2E1-054,248.943,0,284062000,128
Q123T2E1-055,249.35,0,379958000,128
Q123T2E1-056,10.1859,-1,-1,72
Q123T2E1-056,249.35,0,1506660000,66
Q123T2E1-056,50.9294,-1,-1,72
Q123T2E1-056,249.35,0,1492030000,128
Q123T2E1-057,247.313,0,230698000,128
Q123T2E1-058,249.35,0,1492030000,66
Q123T2E1-058,249.35,0,274320000,128
Q123T2E1-059,248.943,0,452395000,128
Q123T2E1-060,249.35,0,349562000,128
Q123T2E1-061,246.091,0,494866000,128
Q123T2E1-062,248.943,0,282747000,128
Q123T2E1-063,248.128,0,1521840000,128
Q123T2E1-064,248.943,0,573099000,66
Q123T2E1-064,249.35,0,1492030000,128
Q123T2E1-065,248.943,0,1489600000,128
Q123T2E1-066,249.35,0,1529330000,128
Q123T2E1-067,249.35,0,1492030000,128
Q123T2E1-068,-1,-1,-1,98
Q123T2E1-068,249.758,0,914526000,128
Q123T2E1-069,248.943,0,326595000,128
Q123T2E1-070,249.35,0,211672000,128
Q123T2E1-071,248.943,0,1489600000,128
Q123T2E1-072,246.091,0,1472530000,128
Q123T2E1-073,-1,-1,-1,98
Q123T2E1-073,248.943,0,1489600000,128
Q123T2E1-074,248.535,0,1524340000,128
Q123T2E1-075,249.35,0,197333000,128
Q123T2E1-100,248.943,0,1796280000,128
Q123T2E1-106,248.943,0,1489600000,128
Q125T2A1-001,-1,-1,-1,98
Q125T2A1-001,248.943,0,430094000,128
Q125T2A1-002,248.943,0,323139000,128
Q125T2A1-003,248.535,0,1487160000,66
Q125T2A1-003,250.98,0,233232000,128
Q125T2A1-004,248.943,0,348991000,128
Q125T2A1-005,248.943,0,367912000,128
Q125T2A1-006,248.943,0,319756000,128
Q125T2A1-007,246.091,0,202596000,128
Q125T2A1-008,248.535,0,315924000,128
Q125T2A1-009,248.535,0,344482000,128
Q125T2A1-010,248.943,0,466209000,128
Q125T2A1-011,249.35,0,321965000,128
Q125T2A1-012,249.35,0,416145000,128
Q125T2A1-013,248.943,0,540472000,128
Q125T2A1-014,248.943,0,296472000,128
Q125T2A1-015,248.943,0,226198000,128
Q125T2A1-016,248.943,0,316442000,128
Q125T2A1-017,249.35,0,373008000,128
Q125T2A1-018,248.943,0,1489600000,128
Q125T2A1-019,249.35,0,323668000,128
Q125T2A1-020,249.35,0,323668000,128
Q125T2A1-021,248.943,0,265536000,128
Q125T2A1-022,248.943,0,367912000,128
Q125T2A1-023,248.943,0,31582000,66
Q125T2A1-023,249.35,0,332464000,128
Q125T2A1-024,248.943,0,1526840000,128
Q125T2A1-025,248.128,0,1690930000,128
Q125T2A1-026,248.943,0,224534000,128
Q125T2A1-027,248.943,0,1650630000,66
Q125T2A1-027,248.943,0,297919000,128
Q125T2A1-028,248.943,0,323139000,128
Q125T2A1-029,248.943,0,222895000,128
Q125T2A1-030,248.943,0,347008000,128
Q125T2A1-031,248.943,0,384109000,128
Q125T2A1-032,248.943,0,1489600000,128
Q125T2A1-033,249.35,0,323668000,128
Q125T2A1-034,248.943,0,1526840000,128
Q125T2A1-035,248.943,0,276350000,128
Q125T2A1-036,248.943,0,239503000,128
Q125T2A1-037,34.632,-1,-1,72
Q125T2A1-037,50.5219,-1,-1,72
Q125T2A1-037,49.2996,-1,-1,72
Q125T2A1-037,45.6327,-1,-1,72
Q125T2A1-037,47.2625,-1,-1,72
Q125T2A1-038,248.943,0,263247000,128
Q125T2A1-039,248.943,0,233599000,66
Q125T2A1-039,249.35,0,1492030000,66
Q125T2A1-039,249.35,0,305867000,128
Q125T2A1-040,248.943,0,341192000,128
Q125T2A1-041,-1,-1,-1,98
Q125T2A1-041,249.35,0,1568550000,66
Q125T2A1-041,249.35,0,410559000,128
Q125T2A1-042,248.943,0,345047000,128
Q125T2A1-043,248.943,0,214292000,128
Q125T2A1-044,248.943,0,254472000,128
Q125T2A1-045,248.943,0,300854000,128
Q125T2A1-046,248.943,0,328351000,128
Q125T2A1-047,248.943,0,305367000,128
Q125T2A1-048,248.943,0,381708000,128
Q125T2A1-049,248.943,0,1489600000,128
Q125T2A1-050,249.35,0,351571000,128
Q125T2A1-051,248.943,0,331920000,128
Q125T2A1-052,248.943,0,1565980000,66
Q125T2A1-052,249.35,0,456517000,128
Q125T2A1-053,248.943,0,570779000,128
Q125T2A1-054,248.943,0,310017000,128
Q125T2A1-055,248.943,0,273871000,128
Q125T2A1-056,249.35,0,497344000,128
Q125T2A1-057,249.35,0,328889000,128
Q125T2A1-058,248.128,0,1521840000,128
Q125T2A1-059,248.943,0,357154000,128
Q125T2A1-060,248.943,0,313197000,128
Q125T2A1-061,249.35,0,158480000,128
Q125T2A1-062,248.943,0,1489600000,66
Q125T2A1-062,249.35,0,477916000,128
Q125T2A1-063,248.943,0,436238000,128
Q125T2A1-100,248.535,0,259461000,128
Q125T2A1-101,248.943,0,343109000,128
Q125T2A1-103,248.943,0,455771000,128
Q125T2A1-105,248.943,0,347008000,128
Q125T2A1-106,248.943,0,436238000,128
Q125T2A1-107,248.943,0,427086000,128
Q125T2A1-107,248.943,0,1796280000,128
Q125T2A1-108,247.313,0,600728000,128
Q308T1G2-001,248.128,0,287139000,128
Q308T1G2-002,248.535,0,266259000,128
Q308T1G2-003,248.943,0,311599000,128
Q308T1G2-004,247.721,0,337630000,128
Q308T1G2-005,248.535,0,388365000,128
Q308T1G2-006,248.943,0,247260000,128
Q308T1G2-007,248.535,0,294557000,128
Q308T1G2-008,43.1881,-1,-1,72
Q308T1G2-009,248.943,0,220481000,128
Q308T1G2-010,248.535,0,269794000,128
Q308T1G2-011,247.721,0,176667000,128
Q308T1G2-012,248.943,0,266696000,128
Q308T1G2-013,248.943,0,238568000,128
Q308T1G2-014,248.535,0,301848000,128
Q308T1G2-015,247.721,0,241165000,128
Q308T1G2-016,248.535,0,371789000,128
Q308T1G2-017,249.35,0,291301000,128
Q308T1G2-018,248.943,0,246263000,128
Q308T1G2-019,249.35,0,271881000,128
Q308T1G2-020,248.535,0,216218000,128
Q308T1G2-021,248.128,0,299869000,128
Q308T1G2-022,248.128,0,373457000,128
Q308T1G2-023,247.721,0,225924000,128
Q308T1G2-024,248.128,0,259036000,128
Q308T1G2-024,248.535,0,248871000,128
Q308T1G2-025,248.535,0,236331000,128
Q308T1G2-026,248.128,0,329046000,128
Q308T1G2-027,248.535,0,262816000,128
Q308T1G2-028,247.721,0,402473000,128
Q308T1G2-029,248.535,0,283597000,128
Q308T1G2-030,248.128,0,315406000,128
Q308T1G2-031,248.535,0,185894000,128
Q308T1G2-032,248.535,0,260570000,128
Q308T1G2-033,248.128,0,209187000,128
Q308T1G2-034,248.535,0,315924000,128
Q308T1G2-035,248.535,0,179333000,128
Q308T1G2-036,248.535,0,207392000,128
Q308T1G2-037,248.535,0,340633000,128
Q308T1G2-038,248.535,0,338741000,128
Q308T1G2-039,248.943,0,215047000,128
Q308T1G2-040,248.535,0,266259000,128
Q308T1G2-041,248.943,0,230465000,128
Q308T1G2-042,248.943,0,339296000,128
Q308T1G2-043,248.535,0,338741000,128
Q308T1G2-044,248.943,0,234897000,128
Q308T1G2-045,248.535,0,241002000,128
Q308T1G2-046,248.943,0,286729000,128
Q308T1G2-047,248.943,0,270236000,128
Q308T1G2-048,248.535,0,365110000,128
Q308T1G2-050,248.535,0,185329000,128
Q308T1G2-051,248.943,0,326595000,128
Q308T1G2-052,248.943,0,321439000,128
Q308T1G2-053,248.943,0,216572000,128
