批號,正極隔離膜批號,負極隔離膜批號,正極來料,負極來料
Q308T1H1,TAF26AD0801,TAF26AD0804,102965,FD06X01
Q308T1G2,TAF26AD0801,TAF26AD0804,102965,FD06X01
Q308T1H2,TAF37AD0202,TAF36AD1302,102965,FD06X01
Q308T1I1,TAF37AD0202,TAF36AD1302,102965,FD06X01
Q308T1I2,TAF37AD0202,TAF36AD1302,102965,FD06X01
Q318T1A1,TAF36AD1003,TAF36AD1005,102965,FD06X01
Q318T1A2,TAF36AD1105,TAF36AD1202,102965,FD06X01
Q318T1B1,TAF36AD1105,TAF36AD1202,102965,FD06X01
Q318T1B2,TAF36AD1105,TAF36AD1202,102965,FD06X01
Q318T1C1,TAF28AD1002,TAF36AD1301,102965,FD06X01
Q318T1C2,TAF28AD1002,TAF36AD1301,102965,FD06X01
Q318T1D1,TAF28AD1201,TAF28AD1105,102965,FD06X01
Q318T1D2,TAF28AD1201,TAF28AD1105,102965,FH22K01
Q318T1E1,TAF28AD1201,TAF28AD1105,102965,FH22K01
Q318T1E2,TAF29AD1003,TAF29AD0902,102965,FH22K01
Q318T1G1,TAF29AD0904,TAF29AD1005,102965,FH22K01
Q318T1G2,TAF29AD0904,TAF29AD1005,102965,FH22K01
Q318T1F1,TAF29AD1003,TAF29AD0902,102965,FH22K01
Q318T1F2,TAF29AD0904,TAF29AD1005,102965,FH22K01
Q318T1H1,TAF29AD1102,TAF26AD0601,102965,FH22K01
Q318T1H2,TAF29AD1102,TAF26AD0601,102965,FH22K01
Q318T1I1,TAF26AD0504,TAF26AD0501,102965,FH22K01
Q319T1A1,TAF26AD0504,TAF26AD0501,102966,FH22K01
Q319T2A1,TAF26AD0504,TAF26AD0501,102966,FH22K01
Q318T1I2,TAF26AD0504,TAF26AD0501,102965,FH22K01
Q319T1A2,TAF26AD0604,TAF26AD0701,102966,FH22K01
Q319T1B1,TAF26AD0604,TAF26AD0701,102966,FH22K01
Q319T1B2,TAF29AD0605,TAF29AD0404,102966,FH22K01
Q509T1A1,TAF29AD0605,TAF29AD0404,102966,FH22K01
Q509T1A2,TAF29AD0605,TAF29AD0404,102966,FH22K01
Q509T1B1,TAF29AD0702,TAF29AD0205,102966,FH22K01
Q509T1B2,TAF29AD0702,TAF29AD0205,102966,FH22K01
Q509T1C1,TAF29AD0401,TAF29AD0603,102966,FH22K01
Q509T1C2,TAF29AD0401,TAF29AD0603,102966,FH22K01
Q509T1D1,TAF29AD0401,TAF29AD0603,102966,FH22K01
Q509T1D2,TAF28AD0802,TAF28AD0705,102966,FH22K01
Q509T1E1,TAF28AD0802,TAF28AD0705,102966,FH22K01
Q509T1E2,TAF28AD0902,TAF28AD0705,102966,FH22K01
Q509T1G1,TAF28AD0905,TAF28AD0803,102966,FH22K01
Q509T1F1,TAF28AD0902,TAF28AD0705,102966,FH22K01
Q509T1F2,TAF28AD0902,TAF28AD0903,102966,FH22K01
Q509T1G2,TAF28AD0905,TAF28AD0803,102966,FH22K01
Q509T1H1,TAF28AD0905,TAF28AD0803,102966,FH22K01
Q509T1H2,TAF37AD1402,TAF737AD1401,102966,FH22K01
Q509T1I1,TAF37AD1402,TAF737AD1401,102966,FH22K01
Q510T1A1,TAF37AD1405,TAF37AD1403,102966,FH22K01
Q509T1I2,TAF37AD1405,TAF737AD1401,102966,FH22K01
Q510T1A2,TAF37AD1405,TAF37AD1403,102966,FH22K01
Q510T1B1,TAF20BD0201,TAF20BD0203,102966,FH22K01
Q510T1B2,TAF20BD0201,TAF20BD0203,102966,FH22K01
Q510T1C1,TAF28AD0702,TAF20BD0203,102966,FH22K01
Q510T1C2,TAF28AD0702,TAF20BD0703,102966,FH22K01
Q510T1D1,TAF28AD0702,TAF20BD0703,102966,FH22K01
Q510T2D1,TAF28AD0702,TAF20BD0703,102966,FH22K01
Q123T2E1,TAF28AD0704,TAF28AD0702,102962,FH22K01
Q125T2A1,TAF28AD0704,TAF28AD0702,102964,FH22K01
Q510T1D2,TAF28AD0601,TAF28AD0605,102966,FH22K01
Q510T1E1,TAF28AD0601,TAF28AD0605,102966,FH22K01
Q510T1E2,TAF28AD0601,TAF28AD0605,102966,FH22K01
Q510T1F1,TAF29AD1105,TAF29AD1104,102966,FH22K01
Q510T1F2,TAF29AD1105,TAF29AD1104,102966,FH22K01
Q510T1G1,TAF30AD0304,TAF29AD1104,102966,FH22K01
Q510T1G2,TAF30AD0304,TAF30AD0302,102966,FH22K01
Q510T1H1,TAF30AD0304,TAF30AD0302,102966,FH22K01
Q510T1H2,TAF20BD1205,TAF30AD0302,102966,FH22K01
Q510T1I1,TAF20BD1205,TAF20BD1204,102966,FH22K01
Q510T1I2,TAF20BD1201,TAF20BD1204,102966,FH22K01
Q511T1A1,TAF20BD1201,TAF20BD1005,102966,FH22K01
Q511T1A2,TAF20BD1201,TAF20BD1005,102966,FH22K01
Q511T1B1,TAF20BD1002,TAF20BD1005,102966,FH22K01
