,電池編號,V:測試電壓值,I:漏電流值,OM:絕緣電阻值,PF:結果判定,正極隔離膜批號,負極隔離膜批號,正極來料,負極來料
0,Q123T2E1-001,248.94299999999998,0.0,1489600000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
1,Q123T2E1-002,249.35,0.0,389639000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
2,Q123T2E1-003,248.94299999999998,0.0,1607190000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
3,Q123T2E1-004,249.75799999999998,0.0,414008000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
4,Q123T2E1-005,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
5,Q123T2E1-006,246.09099999999998,0.0,1472530000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
6,Q123T2E1-007,248.94299999999998,0.0,1526840000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
7,Q123T2E1-008,248.94299999999998,0.0,243320000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
8,Q123T2E1-009,248.94299999999998,0.0,1489600000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
9,Q123T2E1-010,249.35,0.0,296958000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
10,Q123T2E1-011,248.94299999999998,0.0,282747000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
11,Q123T2E1-012,245.683,0.0,1470090000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
12,Q123T2E1-013,248.94299999999998,0.0,264387000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
13,Q123T2E1-014,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
14,Q123T2E1-015,248.94299999999998,0.0,1489600000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
15,Q123T2E1-016,244.868,0.0,1465220000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
16,Q123T2E1-017,249.35,0.0,1529330000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
17,Q123T2E1-018,248.535,0.0,326061000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
18,Q123T2E1-019,249.35,0.0,275555000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
19,Q123T2E1-020,247.72099999999998,0.0,302356000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
20,Q123T2E1-021,248.94299999999998,0.0,2261980000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
21,Q123T2E1-022,249.35,0.0,248672000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
22,Q123T2E1-023,248.535,0.0,1524340000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
23,Q123T2E1-024,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
24,Q123T2E1-025,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
25,Q123T2E1-026,246.498,0.0,1474970000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
26,Q123T2E1-027,249.35,0.0,271881000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
27,Q123T2E1-028,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
28,Q123T2E1-029,248.94299999999998,0.0,1526840000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
29,Q123T2E1-030,248.94299999999998,0.0,396580000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
30,Q123T2E1-031,248.94299999999998,0.0,1650630000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
31,Q123T2E1-032,249.35,0.0,373008000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
32,Q123T2E1-033,247.72099999999998,0.0,1482280000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
33,Q123T2E1-034,248.94299999999998,0.0,284062000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
34,Q123T2E1-035,248.94299999999998,0.0,1607190000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
35,Q123T2E1-036,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
36,Q123T2E1-037,249.35,0.0,1568550000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
37,Q123T2E1-038,249.35,0.0,172319000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
38,Q123T2E1-039,248.535,0.0,1487160000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
39,Q123T2E1-040,248.94299999999998,0.0,300854000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
40,Q123T2E1-041,248.94299999999998,0.0,1607190000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
41,Q123T2E1-042,248.94299999999998,0.0,1489600000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
42,Q123T2E1-043,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
43,Q123T2E1-044,249.35,0.0,1568550000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
44,Q123T2E1-045,247.313,0.0,1479840000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
45,Q123T2E1-046,249.35,0.0,1529330000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
46,Q123T2E1-047,248.94299999999998,0.0,1526840000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
47,Q123T2E1-049,249.35,0.0,179394000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
48,Q123T2E1-050,248.94299999999998,0.0,412658000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
49,Q123T2E1-051,248.94299999999998,0.0,1489600000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
50,Q123T2E1-052,248.535,0.0,1524340000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
51,Q123T2E1-053,249.35,0.0,296958000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
52,Q123T2E1-054,248.94299999999998,0.0,284062000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
53,Q123T2E1-055,249.35,0.0,379958000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
54,Q123T2E1-056,249.35,0.0,1492030000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
55,Q123T2E1-057,247.313,0.0,230698000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
56,Q123T2E1-058,249.35,0.0,274320000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
57,Q123T2E1-059,248.94299999999998,0.0,452395000.0,128.0,TAF28AD0704,TAF28AD0702,102962,FH22K01
